timestamp,actual_cpu,predicted_cpu,instances,failure_prob,uncertainty,latency,queue_length,action,cost
1700000000000,35.2,33.8,5,0.05,3.2,120,7,hold,0.1
1700000005000,36.1,34.5,5,0.06,3.5,118,8,hold,0.1
1700000010000,38,36.7,5,0.07000000000000001,3.8,125,9,scale_up,0.2
1700000015000,40.5,39.2,6,0.12,4,140,12,scale_up,0.3
1700000020000,45,42.8,6,0.18,4.5,160,15,scale_up,0.35
1700000025000,48.2,46.1,7,0.25,5,180,18,scale_up,0.4
1700000030000,50.6,49,7,0.3,5.5,200,20,scale_up,0.45
1700000035000,47.8,45.3,7,0.22,4.8,170,16,hold,0.35
1700000040000,44.3,43.9,6,0.15,4.2,150,13,scale_down,0.25
1700000045000,41,40.5,6,0.1,3.9,140,11,hold,0.2
1700000050000,39.5,38.7,6,0.08,3.7,130,10,hold,0.18
1700000055000,37.2,36.8,5,0.06,3.4,125,9,scale_down,0.15
1700000060000,34.9,35.1,5,0.04,3.1,115,8,hold,0.12
1700000065000,36,35.4,5,0.05,3.3,118,9,hold,0.13
1700000070000,38.4,37.9,5,0.07000000000000001,3.6,122,10,hold,0.15
1700000075000,41.1,40.5,6,0.11,4.1,145,13,scale_up,0.25
1700000080000,44.7,43.8,6,0.14,4.4,155,14,scale_up,0.28
1700000085000,46.9,45.5,7,0.2,4.9,170,16,scale_up,0.38
1700000090000,49.3,47.8,7,0.27,5.3,185,18,scale_up,0.48
1700000095000,52,50.1,8,0.33,5.8,205,21,scale_up,0.6
1700000100000,50.5,49.5,8,0.29,5.6,198,20,hold,0.55
1700000105000,48,46.8,7,0.24,5.1,180,17,scale_down,0.4
1700000110000,45.6,44.9,7,0.19,4.6,165,15,scale_down,0.35
1700000115000,43.2,42.5,6,0.14,4.2,150,13,hold,0.28
1700000120000,40.7,39.9,6,0.11,3.9,138,11,hold,0.22
1700000125000,38.9,38,5,0.08,3.6,130,10,hold,0.18
1700000130000,36.7,36.2,5,0.06,3.4,122,9,hold,0.15
1700000135000,34.8,34.5,5,0.05,3.2,118,8,hold,0.12
1700000140000,33,32.8,4,0.04,3,110,7,scale_down,0.1
1700000145000,31.5,31.2,4,0.03,2.8,105,6,scale_down,0.08
1700000150000,30.2,30.5,4,0.03,2.7,100,6,hold,0.07000000000000001
